Date,Arbitrage,CTA,Commodity,Distressed_Debt,Event_Driven,FOF,FX,ILS,Long_Short_Equity,Multi_Strategy,Relative_Value,UCITS
2014/6/30,0.003753725,0.002967481,0.005475442,0.00593305,0.007627632,0.00461326,0.00218745,0.002314685,0.008243072,0.005262962,0.005288507,0.007193108
2014/7/31,-0.002538586,-0.000890513,-0.005271116,-0.006212008,-0.008452505,-0.003826128,0.000108337,-0.000133162,-0.009144274,-0.004487328,-0.004731534,-0.00712355
2014/8/31,0.018400691,0.018431922,0.017196918,0.018543662,0.019097371,0.018550507,0.018080446,0.01793232,0.019297681,0.018662223,0.018879327,0.019572167
2014/9/30,-0.0048991,-0.003357408,-0.008389178,-0.009800257,-0.013782971,-0.006600701,-0.001468065,-0.001739465,-0.015014553,-0.008759394,-0.008585718,-0.013726524
2014/10/31,0.007291119,0.005764107,0.003903481,0.008983695,0.01126616,0.007578352,0.005843519,0.005219953,0.01156338,0.008529666,0.009322913,0.011893229
2014/11/30,0.004813802,0.00570112,-0.000155691,0.00215618,0.001235297,0.004120471,0.006040754,0.005567888,0.001180304,0.003592983,0.00373719,0.00304267
2014/12/31,0.005621993,0.006248631,-0.003377471,0.000853018,-0.001146172,0.003822318,0.008431865,0.007332164,-0.002069771,0.002524123,0.003472056,0.000569166
2015/1/31,0.022445997,0.025646724,0.017407221,0.017296564,0.013816642,0.020643114,0.025791748,0.025523474,0.012797849,0.019697388,0.019594249,0.016704885
2015/2/28,-0.003057697,-0.006043738,-0.000605923,0.00060179,0.00386102,-0.001539511,-0.00566371,-0.005717235,0.004986967,-0.000697947,-0.000766794,0.002127391
2015/3/31,0.006668421,0.007658221,0.002821858,0.003753039,0.001937994,0.005560765,0.008631535,0.008181493,0.001242433,0.00468117,0.005066885,0.002842293
2015/4/30,-0.010496162,-0.011776071,-0.003379271,-0.006377885,-0.003228811,-0.008500149,-0.013301701,-0.01249823,-0.001550378,-0.006874812,-0.008129369,-0.004219986
2015/5/31,-0.001318691,-0.001596626,-0.003611797,-0.002421885,-0.00351774,-0.001921525,-0.000584391,-0.000875776,-0.004125436,-0.002795471,-0.002226818,-0.004005154
2015/6/30,-0.018340475,-0.018914486,-0.017834164,-0.018528574,-0.01864352,-0.01836226,-0.018053188,-0.018137926,-0.018731254,-0.01881109,-0.018687814,-0.019660977
2015/7/31,0.007622129,0.010072982,-0.00016754,0.00259913,-0.000717335,0.005915098,0.010197884,0.009736302,-0.001599222,0.004487043,0.004875058,0.002096212
2015/8/31,-0.017339605,-0.01633979,-0.016327713,-0.019350425,-0.022242566,-0.018414773,-0.015366672,-0.015153973,-0.023521528,-0.019792615,-0.01954399,-0.023564215
2015/9/30,0.001425649,0.002092815,0.000491513,0.000940616,0.000627001,0.001178272,0.001775411,0.001688336,0.000484881,0.001262884,0.001331752,0.001363595
2015/10/31,0.014647241,0.012452298,0.015047867,0.018429253,0.022167718,0.016113713,0.011580061,0.011479909,0.023412647,0.017649289,0.017674462,0.022181796
2015/11/30,-0.003685279,-0.003714873,-0.009333566,-0.007137054,-0.008958109,-0.004906618,-0.001477373,-0.002310346,-0.009691741,-0.00640504,-0.005682953,-0.008740535
2015/12/31,-0.019166165,-0.018317175,-0.023039524,-0.021945693,-0.023878925,-0.02040876,-0.017410355,-0.01769856,-0.024678526,-0.021047709,-0.020861204,-0.022850653
2016/1/31,0.002846152,0.005610998,0.000290028,-0.001803635,-0.005204751,0.001394294,0.005990478,0.005982664,-0.005993023,0.000139487,-0.000139251,-0.003652027
2016/2/29,0.0077283,0.008622629,0.007735498,0.006655442,0.005706068,0.007308328,0.008612825,0.008688488,0.005289586,0.006918139,0.007001505,0.005757219
2016/3/31,0.010991093,0.010079564,0.014581417,0.015747241,0.019775985,0.012817311,0.007490632,0.007878267,0.021253838,0.01515053,0.014713554,0.020375366
2016/4/30,0.007900144,0.007184609,0.014437077,0.011642469,0.013021207,0.009246257,0.005644424,0.006444231,0.013565633,0.009905932,0.009522989,0.011218315
2016/5/31,0.011605745,0.012116659,0.011015026,0.010664007,0.009148196,0.011077862,0.012496167,0.012418348,0.008413681,0.010109141,0.010622022,0.008528172
2016/6/30,0.018916226,0.020845112,0.018353504,0.017724808,0.016881426,0.018334375,0.019869157,0.019997582,0.016490854,0.018730053,0.018563889,0.018531831
2016/7/31,0.002529399,0.001375068,-0.002278108,0.002561055,0.004671493,0.002786146,0.001693231,0.001026905,0.005521067,0.003626772,0.003766396,0.006413761
2016/8/31,0.006778195,0.006149865,0.008651077,0.007473948,0.007980059,0.007209861,0.006441064,0.006533999,0.008213617,0.007081402,0.006996326,0.006940906
2016/9/30,0.001033535,0.000318503,0.004156327,0.002945211,0.004041131,0.001748322,-6.19E-05,0.000220906,0.004445239,0.002234043,0.002003898,0.003096366
2016/10/31,-0.007741116,-0.008422283,-0.009114973,-0.008977999,-0.009682844,-0.008314154,-0.006685771,-0.006999869,-0.01007799,-0.008834954,-0.008721772,-0.010284657
2016/11/30,-0.005929516,-0.011016707,-0.007082032,-0.001729236,0.001452372,-0.005058064,-0.008462621,-0.009412711,0.001427362,-0.005263653,-0.003336192,-0.00250298
2016/12/31,0.014558536,0.013779351,0.015044645,0.016823945,0.018011927,0.015048366,0.012964481,0.013021722,0.018118702,0.015697737,0.016048668,0.017772903
2017/1/31,-0.00451775,-0.004515094,-0.002369574,-0.003153965,-0.0013431,-0.003595002,-0.005729832,-0.005411421,-0.000275005,-0.002423471,-0.003255962,-0.000488046
2017/2/28,0.013265927,0.013458406,0.012019255,0.013638453,0.014043752,0.013280958,0.012818609,0.012755204,0.014088335,0.013675293,0.013832022,0.014840119
2017/3/31,-0.001799826,-0.000969976,-0.002538167,-0.002828702,-0.002855995,-0.001766721,-0.001529426,-0.001424287,-0.002293987,-0.001408412,-0.002105372,-0.001300552
2017/4/30,0.001448295,0.001203536,0.001150142,0.002025191,0.002872357,0.001835338,0.000718756,0.000729987,0.003346981,0.002212029,0.002071415,0.00333751
2017/5/31,0.005377807,0.006661501,0.005881834,0.004698826,0.004621723,0.005644269,0.005351008,0.005723308,0.005281714,0.006023424,0.00514719,0.006184469
2017/6/30,-0.001876227,-0.001882346,-0.002377679,-0.001625655,-0.001380919,-0.001882613,-0.002093896,-0.002152612,-0.001428965,-0.00172805,-0.001547605,-0.001185667
2017/7/31,0.000150468,-0.00013121,0.003677012,0.0025323,0.004636791,0.001351125,-0.001671686,-0.001180501,0.005759927,0.00266263,0.001831634,0.004943459
2017/8/31,0.005053644,0.006313771,0.005588509,0.004075063,0.003459358,0.004902877,0.005710976,0.005922276,0.003517856,0.004970681,0.004510745,0.004347373
2017/9/30,0.002074181,0.00034725,0.002736114,0.004054886,0.005515717,0.002784953,0.000738103,0.000534824,0.005814589,0.002732413,0.003267784,0.004030457
2017/10/31,0.007076329,0.007056228,0.009774361,0.008239799,0.009034856,0.007704186,0.006415536,0.006694863,0.009512305,0.008156248,0.007708941,0.008800109
2017/11/30,6.42E-05,-0.000406819,0.000555531,0.001777369,0.002825649,0.000633955,-0.001295985,-0.001224402,0.003124235,0.000956656,0.001240205,0.002588074
2017/12/31,0.002926938,0.002820142,0.00492857,0.003790651,0.004868093,0.003523489,0.002382005,0.00254322,0.005440377,0.004085924,0.003605352,0.004929303
2018/1/31,-0.004752117,-0.00606022,-0.001078619,-0.001817631,0.001450484,-0.002994593,-0.007075457,-0.006785499,0.003160702,-0.001701647,-0.002576149,0.001233599
2018/2/28,-0.010099449,-0.009462001,-0.013245406,-0.014043368,-0.016955979,-0.011711338,-0.007076237,-0.007483301,-0.01820279,-0.013242974,-0.012950959,-0.01722255
2018/3/31,0.006367063,0.006795706,0.00698396,0.007034269,0.007017424,0.006368423,0.006049152,0.006175836,0.006815487,0.00667656,0.006811695,0.007257868
2018/4/30,0.007710676,0.006213973,0.009850863,0.010625881,0.01205564,0.00860952,0.005795001,0.005913811,0.01240363,0.008908274,0.009239341,0.010610636
2018/5/31,0.011590607,0.011453266,0.010609232,0.011658285,0.011239992,0.011368666,0.011734386,0.011481987,0.010690307,0.010715912,0.011562489,0.010460185
2018/6/30,0.004013023,0.004824812,0.003593671,0.003858979,0.002213673,0.003410745,0.004279579,0.004445169,0.00126992,0.002828201,0.003442326,0.001910874
2018/7/31,0.003126953,0.001978116,0.002961653,0.00459536,0.006730014,0.003886688,0.001742796,0.001654273,0.007643014,0.004883701,0.004550561,0.007219543
2018/8/31,0.009434554,0.009674121,0.008956212,0.009352197,0.008648689,0.009207742,0.009585904,0.009541801,0.008118211,0.00857337,0.009172198,0.0080538
2018/9/30,-0.001006538,-0.001608884,0.001695261,0.000358068,0.001176381,-0.000406138,-0.001818381,-0.001542136,0.001566188,-3.43E-05,-0.000430231,0.000442374
2018/10/31,-0.017383416,-0.01592111,-0.022401537,-0.022291263,-0.026772281,-0.019918967,-0.013627554,-0.014034105,-0.028892938,-0.021628626,-0.020984008,-0.026433435
2018/11/30,6.76E-05,0.000452268,-0.005037093,-0.001934611,-0.002240384,-0.000724918,0.001055,0.000485075,-0.002425468,-0.000657438,-0.000393588,-0.000389567
2018/12/31,-0.009695216,-0.005028628,-0.013825073,-0.018277301,-0.024683592,-0.012485735,-0.00378065,-0.003742719,-0.02628764,-0.014739972,-0.015470857,-0.022205419
2019/1/31,0.023437108,0.020664902,0.027590999,0.031280759,0.03708568,0.025807393,0.017959588,0.01828176,0.03853788,0.028932745,0.029085267,0.036675767
2019/2/28,0.008081202,0.007071009,0.008402531,0.009766544,0.01081886,0.008659181,0.006748175,0.006742006,0.011147435,0.008838063,0.009104331,0.010210298
2019/3/31,0.021697067,0.024207658,0.021992732,0.020070834,0.018189581,0.021141154,0.022842269,0.023221785,0.017718964,0.020896634,0.020564945,0.019565938
2019/4/30,0.006256994,0.005507538,0.006613201,0.007234873,0.008111826,0.00670469,0.00546614,0.005439616,0.008455739,0.006846079,0.006896684,0.007691208
2019/5/31,0.002377701,0.0063222,-0.00290284,-0.004160661,-0.009563407,-0.000106837,0.006729351,0.006636029,-0.011267791,-0.001967516,-0.00190904,-0.007160505
2019/6/30,0.01623581,0.014831635,0.01912005,0.019631377,0.022701381,0.017907276,0.013539935,0.013794167,0.024101458,0.01901128,0.018628156,0.022247852
