Date,Pure number,Signal
2009-10-09,0.4512,-1.0
2009-10-16,0.3814,-1.0
2009-10-23,0.3153,-1.0
2009-10-30,0.4872,-1.0
2009-11-06,0.4037,-1.0
2009-11-09,0.4627,-1.0
2009-11-12,0.382,-1.0
2009-11-13,0.3245,-1.0
2009-11-20,0.3728,-1.0
2009-11-27,0.3974,-1.0
2009-12-04,0.383,-1.0
2009-12-06,0.5522,-1.0
2009-12-11,0.382,-1.0
2009-12-18,0.365,-1.0
2009-12-25,0.2514,-1.0
2010-01-01,0.2007,-1.0
2010-01-08,0.2808,-1.0
2010-01-10,0.2912,-1.0
2010-01-15,0.2961,-1.0
2010-01-22,0.357,-1.0
2010-01-29,0.2848,-1.0
2010-02-04,0.1739,-1.0
2010-02-05,0.3319,-1.0
2010-02-07,0.4464,-1.0
2010-02-12,0.2976,-1.0
2010-02-19,0.2871,-1.0
2010-02-26,0.3097,-1.0
2010-03-05,0.304,-1.0
2010-03-09,0.3485,-1.0
2010-03-12,0.2049,-1.0
2010-03-19,0.2348,-1.0
2010-03-26,0.1958,-1.0
2010-04-02,0.1739,-1.0
2010-04-06,0.3956,-1.0
2010-04-09,0.2084,-1.0
2010-04-16,0.2278,-1.0
2010-04-23,0.2614,-1.0
2010-04-30,0.2866,-1.0
2010-05-02,0.3318,-1.0
2010-05-03,0.304,-1.0
2010-05-07,0.3879,-1.0
2010-05-11,0.2709,-1.0
2010-05-14,0.4052,-1.0
2010-05-21,0.4022,-1.0
2010-05-28,0.4088,-1.0
2010-06-04,0.3961,-1.0
2010-06-08,0.2766,-1.0
2010-06-11,0.3939,-1.0
2010-06-18,0.3063,-1.0
2010-06-25,0.3554,-1.0
2010-07-02,0.4467,-1.0
2010-07-05,0.3874,-1.0
2010-07-09,0.3603,-1.0
2010-07-16,0.3725,-1.0
2010-07-23,0.3459,-1.0
2010-07-30,0.2726,-1.0
2010-08-01,0.2807,-1.0
2010-08-06,0.2767,-1.0
2010-08-10,0.3258,-1.0
2010-08-13,0.3413,-1.0
2010-08-20,0.3215,-1.0
2010-08-27,0.3518,1.0
2010-09-03,0.3487,1.0
2010-09-04,0.2082,-1.0
2010-09-07,0.3599,-1.0
2010-09-10,0.3513,-1.0
2010-09-17,0.3292,-1.0
2010-09-24,0.3806,-1.0
2010-10-01,0.2912,-1.0
2010-10-08,0.326,-1.0
2010-10-09,0.3512,-1.0
2010-10-12,0.2428,-1.0
2010-10-15,0.2826,-1.0
2010-10-22,0.3064,-1.0
2010-10-29,0.2463,-1.0
2010-11-05,0.2711,-1.0
2010-11-06,0.3935,-1.0
2010-11-12,0.2559,-1.0
2010-11-19,0.265,-1.0
2010-11-26,0.307,-1.0
2010-12-02,0.2976,-1.0
2010-12-03,0.3595,0.0
2010-12-10,0.243,0.0
2010-12-11,0.2556,0.0
2010-12-17,0.2377,0.0
2010-12-24,0.1708,0.0
2010-12-31,0.1815,-1.0
2011-01-04,0.1744,1.0
2011-01-07,0.211,1.0
2011-01-14,0.2185,1.0
2011-01-21,0.2099,1.0
2011-01-28,0.1784,1.0
2011-02-04,0.1614,1.0
2011-02-09,0.4051,1.0
2011-02-11,0.1348,0.0
2011-02-12,0.5175,0.0
2011-02-18,0.1668,-1.0
2011-02-25,0.1384,-1.0
2011-03-04,0.1702,0.0
2011-03-06,0.1808,0.0
2011-03-11,0.1309,0.0
2011-03-18,0.2024,1.0
2011-03-25,0.2085,0.0
2011-04-01,0.1742,0.0
2011-04-02,0.1614,0.0
2011-04-03,0.1704,0.0
2011-04-08,0.1907,0.0
2011-04-11,0.6558,0.0
2011-04-15,0.1529,-1.0
2011-04-22,0.2165,1.0
2011-04-29,0.1451,0.0
2011-05-06,0.2047,0.0
2011-05-08,0.4208,0.0
2011-05-13,0.1798,-1.0
2011-05-20,0.1412,-1.0
2011-05-27,0.1507,-1.0
2011-06-03,0.1807,1.0
